bf_bugid,bf_bugid,bf_headline,bf_attribute,bf_description,bf_symptoms,bf_conditions,bf_workarounds,bf_release_note,bf_duplicateofbug,message,text
CSCuy17771,CSCuy17771,Evaluation of DMM for openssl 2014 vulnerability,Missing,"This is a CIAM notification :CVE-2014-0224CISCO Alert Links :http://tvce.cisco.com/knowledge/aimsxp/alertpublication/express/alert_preview.asp?AlertID=34548OpenSSL before 0.9.8za, 1.0.0 before 1.0.0m, and 1.0.1 before 1.0.1h does not properly restrict processing of ChangeCipherSpec messages, which allows man-in-the-middle attackers to trigger use of a zero-length master key in certain OpenSSL-to-OpenSSL communications, and consequently hijack sessions or obtain sensitive information, via a crafted TLS handshake, aka the ""CCS Injection"" vulnerability.",Missing,Missing,Missing,Missing,nobug,"Evaluation of DMM for openssl 2014 vulnerabilityMissingThis is a CIAM notification :CVE-2014-0224CISCO Alert Links :http://tvce.cisco.com/knowledge/aimsxp/alertpublication/express/alert_preview.asp?AlertID=34548OpenSSL before 0.9.8za, 1.0.0 before 1.0.0m, and 1.0.1 before 1.0.1h does not properly restrict processing of ChangeCipherSpec messages, which allows man-in-the-middle attackers to trigger use of a zero-length master key in certain OpenSSL-to-OpenSSL communications, and consequently hijack sessions or obtain sensitive information, via a crafted TLS handshake, aka the ""CCS Injection"" vulnerability.MissingMissingMissingMissingnobug",evaluation dmm openssl ciam notification cve cisco alert link url za properly restrict process message allow man middle attackers trigger use zero length master key certain openssl openssl communications consequently hijack sessions obtain sensitive information via craft tls handshake aka ccs injection vulnerability
CSCuy19023,CSCuy19023,Evaluation of DMM for openssl 2011 vulnerability,Missing,"This is a CIAM notification :CVE-2011-1945CISCO Alert Links :http://tvce.cisco.com/knowledge/aimsxp/alertpublication/express/alert_preview.asp?AlertID=23192The elliptic curve cryptography (ECC) subsystem in OpenSSL 1.0.0d and earlier, when the Elliptic Curve Digital Signature Algorithm (ECDSA) is used for the ECDHE_ECDSA cipher suite, does not properly implement curves over binary fields, which makes it easier for context-dependent attackers to determine private keys via a timing attack and a lattice calculation.",Missing,Missing,Missing,Missing,nobug,"Evaluation of DMM for openssl 2011 vulnerabilityMissingThis is a CIAM notification :CVE-2011-1945CISCO Alert Links :http://tvce.cisco.com/knowledge/aimsxp/alertpublication/express/alert_preview.asp?AlertID=23192The elliptic curve cryptography (ECC) subsystem in OpenSSL 1.0.0d and earlier, when the Elliptic Curve Digital Signature Algorithm (ECDSA) is used for the ECDHE_ECDSA cipher suite, does not properly implement curves over binary fields, which makes it easier for context-dependent attackers to determine private keys via a timing attack and a lattice calculation.MissingMissingMissingMissingnobug",evaluation dmm openssl ciam notification cve cisco alert link url elliptic curve cryptography ecc subsystem openssl earlier elliptic curve digital signature algorithm ecdsa use ecdhe_ecdsa cipher suite properly implement curve binary field make easier context dependent attackers determine private key via time attack lattice calculation
CSCuy21235,CSCuy21235,Evaluation of DMM for postgresql 2013 vulnerability.,Missing,"This is a CIAM notification :CVE-2013-1901CISCO Alert Links :http://tvce.cisco.com/knowledge/aimsxp/alertpublication/express/alert_preview.asp?AlertID=28835PostgreSQL 9.2.x before 9.2.4 and 9.1.x before 9.1.9 does not properly check REPLICATION privileges, which allows remote authenticated users to bypass intended backup restrictions by calling the (1) pg_start_backup or (2) pg_stop_backup functions.",Missing,Missing,Missing,Missing,nobug,"Evaluation of DMM for postgresql 2013 vulnerability.MissingThis is a CIAM notification :CVE-2013-1901CISCO Alert Links :http://tvce.cisco.com/knowledge/aimsxp/alertpublication/express/alert_preview.asp?AlertID=28835PostgreSQL 9.2.x before 9.2.4 and 9.1.x before 9.1.9 does not properly check REPLICATION privileges, which allows remote authenticated users to bypass intended backup restrictions by calling the (1) pg_start_backup or (2) pg_stop_backup functions.MissingMissingMissingMissingnobug",evaluation dmm postgresql vulnerability missingthis ciam notification cve cisco alert link url properly check replication privilege allow remote authenticate users bypass intend backup restrictions call pg_start_backup pg_stop_backup function
CSCuy23817,CSCuy23817,Evaluation of DMM for openssl 2007 vulnerability,Missing,This is a CIAM notification :CVE-2007-4995CISCO Alert Links :http://tvce.cisco.com/knowledge/aimsxp/alertpublication/express/alert_preview.asp?AlertID=14308Off-by-one error in the DTLS implementation in OpenSSL 0.9.8 before 0.9.8f allows remote attackers to execute arbitrary code via unspecified vectors.,Missing,Missing,Missing,Missing,nobug,Evaluation of DMM for openssl 2007 vulnerabilityMissingThis is a CIAM notification :CVE-2007-4995CISCO Alert Links :http://tvce.cisco.com/knowledge/aimsxp/alertpublication/express/alert_preview.asp?AlertID=14308Off-by-one error in the DTLS implementation in OpenSSL 0.9.8 before 0.9.8f allows remote attackers to execute arbitrary code via unspecified vectors.MissingMissingMissingMissingnobug,evaluation dmm openssl ciam notification cve cisco alert link url error dtls implementation openssl allow remote attackers execute arbitrary code via unspecified vectors
CSCuy26766,CSCuy26766,Evaluation of CE340 for sudo 2013 vulnerabilities CVE-2012-0809,CIAM-7oN7PVwo3aiGs CVE-2013-1775 ciam psirt psirt-done psirt-rne tps-security,This is a CIAM notification :CVE-2013-1775CISCO Alert Links :https://tvce.cisco.com/security/AIMS/AimsAlertPreview.aspx?AlertID=28445sudo 1.6.0 through 1.7.10p6 and sudo 1.8.0 through 1.8.6p6 allows local users or physically proximate attackers to bypass intended time restrictions and retain privileges without re-authenticating by setting the system clock and sudo user timestamp to the epoch.,Missing,Missing,Missing,Missing,nobug,Evaluation of CE340 for sudo 2013 vulnerabilities CVE-2012-0809CIAM-7oN7PVwo3aiGs CVE-2013-1775 ciam psirt psirt-done psirt-rne tps-securityThis is a CIAM notification :CVE-2013-1775CISCO Alert Links :https://tvce.cisco.com/security/AIMS/AimsAlertPreview.aspx?AlertID=28445sudo 1.6.0 through 1.7.10p6 and sudo 1.8.0 through 1.8.6p6 allows local users or physically proximate attackers to bypass intended time restrictions and retain privileges without re-authenticating by setting the system clock and sudo user timestamp to the epoch.MissingMissingMissingMissingnobug,evaluation ce sudo vulnerabilities cve ciam pvwo aigs cve ciam psirt psirt do psirt rne tps securitythis ciam notification cve cisco alert link url sudo allow local users physically proximate attackers bypass intend time restrictions retain privilege without authenticate set system clock sudo user timestamp epoch
CSCuy38064,CSCuy38064,[Warbler]Add support for act2,Missing,Add support for verification of cisco hardware.,Missing,Missing,Missing,Missing,nobug,[Warbler]Add support for act2MissingAdd support for verification of cisco hardware.MissingMissingMissingMissingnobug,warbler add support act missingadd support verification cisco hardware
CSCuy46125,CSCuy46125,Autobios as part of the image,"pi31, hokkaido",As we discussed in the meeting regarding adding autobios as part f the image.,Missing,Missing,Missing,Missing,nobug,"Autobios as part of the imagepi31, hokkaidoAs we discussed in the meeting regarding adding autobios as part f the image.MissingMissingMissingMissingnobug",autobios part imagepi hokkaidoas discuss meet regard add autobios part image
CSCuy48967,CSCuy48967,Evaluation of gemboa for kernel 2010 vulnerability,ciam psirt tps-security CIAM-5Hn6zuTI6Mf2h CVE-2010-4248,"This is a CIAM notification :CVE-2010-4248CISCO Alert Links :https://tvce.cisco.com/security/aims/aimsalertpreview.aspx?AlertID=21909Race condition in the __exit_signal function in kernel/exit.c in the Linux kernel before 2.6.37-rc2 allows local users to cause a denial of service via vectors related to multithreaded exec, the use of a thread group leader in kernel/posix-cpu-timers.c, and the selection of a new thread group leader in the de_thread function in fs/exec.c.",Missing,Missing,Missing,Missing,nobug,"Evaluation of gemboa for kernel 2010 vulnerabilityciam psirt tps-security CIAM-5Hn6zuTI6Mf2h CVE-2010-4248This is a CIAM notification :CVE-2010-4248CISCO Alert Links :https://tvce.cisco.com/security/aims/aimsalertpreview.aspx?AlertID=21909Race condition in the __exit_signal function in kernel/exit.c in the Linux kernel before 2.6.37-rc2 allows local users to cause a denial of service via vectors related to multithreaded exec, the use of a thread group leader in kernel/posix-cpu-timers.c, and the selection of a new thread group leader in the de_thread function in fs/exec.c.MissingMissingMissingMissingnobug",evaluation gemboa kernel psirt tps security ciam hn zuti mf cve ciam notification cve cisco alert link url condition function kernel exit linux kernel rc allow local users cause denial service via vectors relate multithreaded exec use thread group leader kernel posix cpu timers selection new thread group leader de_thread function fs exec
CSCuy53293,CSCuy53293,Evaluation of gemboa for kernel 2011 vulnerability,ciam psirt tps-security CIAM-6tZ6zuTI6Mf2h CVE-2012-0207,This is a CIAM notification :CVE-2012-0207CISCO Alert Links :https://tvce.cisco.com/security/aims/aimsalertpreview.aspx?AlertID=24923The igmp_heard_query function in net/ipv4/igmp.c in the Linux kernel before 3.2.1 allows remote attackers to cause a denial of service (divide-by-zero error and panic) via IGMP packets.,Missing,Missing,Missing,Missing,CSCuy53283,Evaluation of gemboa for kernel 2011 vulnerabilityciam psirt tps-security CIAM-6tZ6zuTI6Mf2h CVE-2012-0207This is a CIAM notification :CVE-2012-0207CISCO Alert Links :https://tvce.cisco.com/security/aims/aimsalertpreview.aspx?AlertID=24923The igmp_heard_query function in net/ipv4/igmp.c in the Linux kernel before 3.2.1 allows remote attackers to cause a denial of service (divide-by-zero error and panic) via IGMP packets.MissingMissingMissingMissingCSCuy53283,evaluation gemboa kernel psirt tps security ciam tz zuti mf cve ciam notification cve cisco alert link url function net ipv igmp linux kernel allow remote attackers cause denial service divide zero error panic via igmp packets
CSCuy55785,CSCuy55785,Evaluation of gemboa for kernel 2011 vulnerability,CIAM-6fM6zuTI6Mf2h CVE-2011-1835 ciam psirt psirt-done psirt-rne tps-security,"This is a CIAM notification :CVE-2011-1835CISCO Alert Links :https://tvce.cisco.com/security/aims/aimsalertpreview.aspx?AlertID=24042The encrypted private-directory setup process in utils/ecryptfs-setup-private in ecryptfs-utils before 90 does not properly ensure that the passphrase file is created, which might allow local users to bypass intended access restrictions at a certain time in the new-user creation steps.",Missing,Missing,Missing,Missing,nobug,"Evaluation of gemboa for kernel 2011 vulnerabilityCIAM-6fM6zuTI6Mf2h CVE-2011-1835 ciam psirt psirt-done psirt-rne tps-securityThis is a CIAM notification :CVE-2011-1835CISCO Alert Links :https://tvce.cisco.com/security/aims/aimsalertpreview.aspx?AlertID=24042The encrypted private-directory setup process in utils/ecryptfs-setup-private in ecryptfs-utils before 90 does not properly ensure that the passphrase file is created, which might allow local users to bypass intended access restrictions at a certain time in the new-user creation steps.MissingMissingMissingMissingnobug",evaluation gemboa kernel fm zuti mf cve ciam psirt psirt do psirt rne tps securitythis ciam notification cve cisco alert link url encrypt private directory setup process utils ecryptfs setup private ecryptfs utils properly ensure passphrase file create might allow local users bypass intend access restrictions certain time new user creation step
CSCuy57465,CSCuy57465,Evaluation of CE340 for openswan 2013 vulnerabilities,CIAM-8yM7PVwo09Tn1 CVE-2013-6466 ciam psirt psirt-done psirt-rne tps-security,This is a CIAM notification :CVE-2013-6466CISCO Alert Links :https://tvce.cisco.com/security/AIMS/AimsAlertPreview.aspx?AlertID=32908Openswan 2.6.39 and earlier allows remote attackers to cause a denial of service (NULL pointer dereference and IKE daemon restart) via IKEv2 packets that lack expected payloads.,Missing,Missing,Missing,Missing,nobug,Evaluation of CE340 for openswan 2013 vulnerabilitiesCIAM-8yM7PVwo09Tn1 CVE-2013-6466 ciam psirt psirt-done psirt-rne tps-securityThis is a CIAM notification :CVE-2013-6466CISCO Alert Links :https://tvce.cisco.com/security/AIMS/AimsAlertPreview.aspx?AlertID=32908Openswan 2.6.39 and earlier allows remote attackers to cause a denial of service (NULL pointer dereference and IKE daemon restart) via IKEv2 packets that lack expected payloads.MissingMissingMissingMissingnobug,evaluation ce openswan ym pvwo tn cve ciam psirt psirt do psirt rne tps securitythis ciam notification cve cisco alert link url earlier allow remote attackers cause denial service null pointer dereference ike daemon restart via ikev packets lack expect payloads
CSCuy65000,CSCuy65000,vlpwa: Add interface info for show vlpwa commands, cloned-from-CSCux05982,Add interface info for show vlpwa commands,Missing,Missing,Missing,Missing,nobug,vlpwa: Add interface info for show vlpwa commands cloned-from-CSCux05982Add interface info for show vlpwa commandsMissingMissingMissingMissingnobug,vlpwa add interface info show vlpwa command clone cscux add interface info show vlpwa
